scan_index,split,laz_relative_path_original,laz_relative_path_normalized,acquisition_folder,laz_filename
10,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+500_0+550.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+500_0+550.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+500_0+550.laz
11,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+550_0+600.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+550_0+600.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+550_0+600.laz
12,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+600_0+650.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+600_0+650.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+600_0+650.laz
13,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+650_0+700.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+650_0+700.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+650_0+700.laz
14,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+700_0+750.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+700_0+750.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+700_0+750.laz
15,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+750_0+800.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+750_0+800.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+750_0+800.laz
16,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+800_0+850.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+800_0+850.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+800_0+850.laz
17,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+850_0+900.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+850_0+900.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+850_0+900.laz
18,test,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+900_0+950.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+900_0+950.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+900_0+950.laz
19,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+950_1+000.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+950_1+000.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+950_1+000.laz
20,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+000_1+050.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+000_1+050.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+000_1+050.laz
21,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+050_1+100.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+050_1+100.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+050_1+100.laz
22,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+100_1+150.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+100_1+150.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+100_1+150.laz
23,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+150_1+200.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+150_1+200.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+150_1+200.laz
24,test,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+200_1+250.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+200_1+250.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+200_1+250.laz
25,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+250_1+300.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+250_1+300.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+250_1+300.laz
26,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+300_1+350.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+300_1+350.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+300_1+350.laz
27,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+350_1+400.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+350_1+400.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+350_1+400.laz
28,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+400_1+450.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+400_1+450.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+400_1+450.laz
29,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+450_1+500.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+450_1+500.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+450_1+500.laz
30,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+500_1+550.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+500_1+550.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+500_1+550.laz
31,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+550_1+600.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+550_1+600.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+550_1+600.laz
32,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+600_1+650.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+600_1+650.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+600_1+650.laz
33,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+650_1+700.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+650_1+700.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+650_1+700.laz
34,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+700_1+750.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+700_1+750.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+700_1+750.laz
35,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+750_1+800.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+750_1+800.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+750_1+800.laz
36,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+800_1+850.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+800_1+850.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+800_1+850.laz
37,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+850_1+900.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+850_1+900.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+850_1+900.laz
38,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+900_1+950.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+900_1+950.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+900_1+950.laz
39,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_1+950_2+000.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_1+950_2+000.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_1+950_2+000.laz
40,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+000_10+050.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+000_10+050.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+000_10+050.laz
41,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+050_10+100.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+050_10+100.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+050_10+100.laz
42,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+100_10+150.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+100_10+150.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+100_10+150.laz
43,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+150_10+200.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+150_10+200.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+150_10+200.laz
44,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+200_10+250.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+200_10+250.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+200_10+250.laz
45,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+250_10+300.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+250_10+300.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+250_10+300.laz
46,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+300_10+350.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+300_10+350.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+300_10+350.laz
47,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+350_10+400.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+350_10+400.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+350_10+400.laz
48,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+400_10+450.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+400_10+450.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+400_10+450.laz
49,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+450_10+500.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+450_10+500.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+450_10+500.laz
50,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+500_10+550.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+500_10+550.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+500_10+550.laz
51,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+550_10+600.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+550_10+600.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+550_10+600.laz
52,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+600_10+650.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+600_10+650.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+600_10+650.laz
53,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+650_10+700.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+650_10+700.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+650_10+700.laz
54,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+700_10+750.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+700_10+750.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+700_10+750.laz
55,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+750_10+800.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+750_10+800.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+750_10+800.laz
56,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+800_10+850.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+800_10+850.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+800_10+850.laz
57,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+850_10+900.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+850_10+900.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+850_10+900.laz
58,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+900_10+950.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+900_10+950.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+900_10+950.laz
59,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_10+950_11+000.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_10+950_11+000.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_10+950_11+000.laz
60,test,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+000_11+050.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+000_11+050.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+000_11+050.laz
61,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+050_11+100.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+050_11+100.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+050_11+100.laz
62,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+100_11+150.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+100_11+150.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+100_11+150.laz
63,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+150_11+200.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+150_11+200.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+150_11+200.laz
64,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+200_11+250.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+200_11+250.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+200_11+250.laz
65,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+250_11+300.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+250_11+300.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+250_11+300.laz
66,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+300_11+350.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+300_11+350.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+300_11+350.laz
67,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+350_11+400.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+350_11+400.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+350_11+400.laz
68,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+400_11+450.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+400_11+450.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+400_11+450.laz
69,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+450_11+500.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+450_11+500.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+450_11+500.laz
70,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+500_11+550.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+500_11+550.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+500_11+550.laz
71,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+550_11+600.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+550_11+600.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+550_11+600.laz
72,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+600_11+650.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+600_11+650.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+600_11+650.laz
73,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+650_11+700.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+650_11+700.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+650_11+700.laz
74,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+700_11+750.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+700_11+750.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+700_11+750.laz
75,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+750_11+800.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+750_11+800.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+750_11+800.laz
76,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+800_11+850.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+800_11+850.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+800_11+850.laz
77,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+850_11+900.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+850_11+900.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+850_11+900.laz
78,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+900_11+950.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+900_11+950.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+900_11+950.laz
79,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_11+950_12+000.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_11+950_12+000.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_11+950_12+000.laz
80,valid,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_12+000_12+050.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_12+000_12+050.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_12+000_12+050.laz
81,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_12+050_12+100.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_12+050_12+100.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_12+050_12+100.laz
