scan_index,split,acquisition_folder,laz_relative_path,info_relative_path,laz_filename,info_filename,size_bytes,point_count,las_version,point_data_format,x_min,y_min,z_min,x_max,y_max,z_max,gps_time_min,gps_time_max,classification_histogram
14,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+700_0+750.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+700_0+750_info.txt,ACQ_242_Aulnoye_Busigny_F_0+700_0+750.laz,ACQ_242_Aulnoye_Busigny_F_0+700_0+750_info.txt,21878294,3464249,1.2,3,1759552.070,9221790.566,140.177,1759748.302,9221921.995,232.987,48397.755911,48404.167571,"{""0"":{""count"":235018,""label"":""Unclassified""},""1"":{""count"":2370202,""label"":""Ground""},""2"":{""count"":327824,""label"":""Vegetation""},""3"":{""count"":189167,""label"":""Building""},""4"":{""count"":38346,""label"":""Catenary pole""},""5"":{""count"":180344,""label"":""Rail""},""7"":{""count"":123348,""label"":""Catenary wire""}}"
15,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+750_0+800.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+750_0+800_info.txt,ACQ_242_Aulnoye_Busigny_F_0+750_0+800.laz,ACQ_242_Aulnoye_Busigny_F_0+750_0+800_info.txt,20839541,3424332,1.2,3,1759504.698,9221730.623,140.349,1759674.856,9221925.782,232.700,48404.167579,48410.496030,"{""0"":{""count"":294250,""label"":""Unclassified""},""1"":{""count"":2285660,""label"":""Ground""},""2"":{""count"":377215,""label"":""Vegetation""},""3"":{""count"":212105,""label"":""Building""},""4"":{""count"":44981,""label"":""Catenary pole""},""5"":{""count"":116814,""label"":""Rail""},""7"":{""count"":93307,""label"":""Catenary wire""}}"
16,valid,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+800_0+850.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+800_0+850_info.txt,ACQ_242_Aulnoye_Busigny_F_0+800_0+850.laz,ACQ_242_Aulnoye_Busigny_F_0+800_0+850_info.txt,19975840,3199446,1.2,3,1759465.746,9221723.252,140.327,1759636.090,9221882.267,232.122,48410.496040,48416.744766,"{""0"":{""count"":244032,""label"":""Unclassified""},""1"":{""count"":2044902,""label"":""Ground""},""2"":{""count"":682862,""label"":""Vegetation""},""3"":{""count"":24095,""label"":""Building""},""4"":{""count"":26837,""label"":""Catenary pole""},""5"":{""count"":115320,""label"":""Rail""},""7"":{""count"":61398,""label"":""Catenary wire""}}"
17,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+850_0+900.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+850_0+900_info.txt,ACQ_242_Aulnoye_Busigny_F_0+850_0+900.laz,ACQ_242_Aulnoye_Busigny_F_0+850_0+900_info.txt,18405148,3057256,1.2,3,1759428.215,9221705.125,136.560,1759627.995,9221856.885,231.081,48416.745016,48422.841182,"{""0"":{""count"":304184,""label"":""Unclassified""},""1"":{""count"":2112986,""label"":""Ground""},""2"":{""count"":455827,""label"":""Vegetation""},""3"":{""count"":2726,""label"":""Building""},""4"":{""count"":24699,""label"":""Catenary pole""},""5"":{""count"":79719,""label"":""Rail""},""7"":{""count"":64345,""label"":""Catenary wire""},""8"":{""count"":12770,""label"":""LCG""}}"
18,test,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+900_0+950.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+900_0+950_info.txt,ACQ_242_Aulnoye_Busigny_F_0+900_0+950.laz,ACQ_242_Aulnoye_Busigny_F_0+900_0+950_info.txt,19834934,3029154,1.2,3,1759394.428,9221690.244,139.404,1759575.009,9221829.551,229.577,48422.841191,48428.762565,"{""0"":{""count"":239713,""label"":""Unclassified""},""1"":{""count"":1628337,""label"":""Ground""},""2"":{""count"":965796,""label"":""Vegetation""},""3"":{""count"":2837,""label"":""Building""},""4"":{""count"":20627,""label"":""Catenary pole""},""5"":{""count"":109600,""label"":""Rail""},""7"":{""count"":62244,""label"":""Catenary wire""}}"
19,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+950_1+000.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+950_1+000_info.txt,ACQ_242_Aulnoye_Busigny_F_0+950_1+000.laz,ACQ_242_Aulnoye_Busigny_F_0+950_1+000_info.txt,18877658,2881639,1.2,3,1759353.170,9221667.366,139.017,1759499.005,9221787.587,155.638,48428.762575,48434.323731,"{""0"":{""count"":136924,""label"":""Unclassified""},""1"":{""count"":1510794,""label"":""Ground""},""2"":{""count"":1046509,""label"":""Vegetation""},""4"":{""count"":20268,""label"":""Catenary pole""},""5"":{""count"":112253,""label"":""Rail""},""7"":{""count"":54891,""label"":""Catenary wire""}}"
20,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+000_1+050.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+000_1+050_info.txt,ACQ_242_Aulnoye_Busigny_F_1+000_1+050.laz,ACQ_242_Aulnoye_Busigny_F_1+000_1+050_info.txt,18622024,2828238,1.2,3,1759330.242,9221645.442,138.259,1759485.072,9221763.890,154.604,48434.323739,48439.416487,"{""0"":{""count"":126168,""label"":""Unclassified""},""1"":{""count"":1305544,""label"":""Ground""},""2"":{""count"":1220208,""label"":""Vegetation""},""4"":{""count"":21815,""label"":""Catenary pole""},""5"":{""count"":103768,""label"":""Rail""},""7"":{""count"":50735,""label"":""Catenary wire""}}"
21,valid,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+050_1+100.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+050_1+100_info.txt,ACQ_242_Aulnoye_Busigny_F_1+050_1+100.laz,ACQ_242_Aulnoye_Busigny_F_1+050_1+100_info.txt,18246907,2690534,1.2,3,1759276.415,9221641.732,138.035,1759407.631,9221721.091,155.035,48439.416497,48444.158512,"{""0"":{""count"":135977,""label"":""Unclassified""},""1"":{""count"":1193489,""label"":""Ground""},""2"":{""count"":1200930,""label"":""Vegetation""},""4"":{""count"":18000,""label"":""Catenary pole""},""5"":{""count"":96788,""label"":""Rail""},""7"":{""count"":45350,""label"":""Catenary wire""}}"
22,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+100_1+150.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+100_1+150_info.txt,ACQ_242_Aulnoye_Busigny_F_1+100_1+150.laz,ACQ_242_Aulnoye_Busigny_F_1+100_1+150_info.txt,17304986,2540197,1.2,3,1759227.599,9221565.811,137.667,1759335.299,9221707.461,221.597,48444.158522,48448.625518,"{""0"":{""count"":117489,""label"":""Unclassified""},""1"":{""count"":1137318,""label"":""Ground""},""2"":{""count"":1147042,""label"":""Vegetation""},""4"":{""count"":13520,""label"":""Catenary pole""},""5"":{""count"":90431,""label"":""Rail""},""7"":{""count"":34397,""label"":""Catenary wire""}}"
23,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+150_1+200.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+150_1+200_info.txt,ACQ_242_Aulnoye_Busigny_F_1+150_1+200.laz,ACQ_242_Aulnoye_Busigny_F_1+150_1+200_info.txt,16257480,2389333,1.2,3,1759200.023,9221559.838,137.357,1759330.132,9221687.023,163.418,48448.625525,48452.872001,"{""0"":{""count"":120725,""label"":""Unclassified""},""1"":{""count"":1054016,""label"":""Ground""},""2"":{""count"":1091657,""label"":""Vegetation""},""4"":{""count"":12215,""label"":""Catenary pole""},""5"":{""count"":87798,""label"":""Rail""},""7"":{""count"":22922,""label"":""Catenary wire""}}"
24,test,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+200_1+250.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+200_1+250_info.txt,ACQ_242_Aulnoye_Busigny_F_1+200_1+250.laz,ACQ_242_Aulnoye_Busigny_F_1+200_1+250_info.txt,15800037,2370324,1.2,3,1759159.935,9221556.719,137.015,1759315.353,9221654.424,171.927,48452.872005,48456.936328,"{""0"":{""count"":192771,""label"":""Unclassified""},""1"":{""count"":1010622,""label"":""Ground""},""2"":{""count"":1054860,""label"":""Vegetation""},""4"":{""count"":11252,""label"":""Catenary pole""},""5"":{""count"":81891,""label"":""Rail""},""7"":{""count"":18928,""label"":""Catenary wire""}}"
25,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+250_1+300.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+250_1+300_info.txt,ACQ_242_Aulnoye_Busigny_F_1+250_1+300.laz,ACQ_242_Aulnoye_Busigny_F_1+250_1+300_info.txt,18799336,3483492,1.2,3,1759089.785,9221505.716,136.970,1759235.116,9221608.486,210.828,48456.936335,48460.876120,"{""0"":{""count"":209368,""label"":""Unclassified""},""1"":{""count"":967988,""label"":""Ground""},""2"":{""count"":450557,""label"":""Vegetation""},""3"":{""count"":1189816,""label"":""Building""},""4"":{""count"":4224,""label"":""Catenary pole""},""5"":{""count"":74334,""label"":""Rail""},""6"":{""count"":585263,""label"":""Structure""},""7"":{""count"":1942,""label"":""Catenary wire""}}"
26,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+300_1+350.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+300_1+350_info.txt,ACQ_242_Aulnoye_Busigny_F_1+300_1+350.laz,ACQ_242_Aulnoye_Busigny_F_1+300_1+350_info.txt,14305335,2333412,1.2,3,1759064.076,9221482.659,136.724,1759181.398,9221591.845,163.538,48460.876130,48464.728024,"{""0"":{""count"":105246,""label"":""Unclassified""},""1"":{""count"":1033819,""label"":""Ground""},""2"":{""count"":593390,""label"":""Vegetation""},""3"":{""count"":288096,""label"":""Building""},""4"":{""count"":18767,""label"":""Catenary pole""},""5"":{""count"":77929,""label"":""Rail""},""6"":{""count"":198128,""label"":""Structure""},""7"":{""count"":18037,""label"":""Catenary wire""}}"
27,valid,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+350_1+400.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+350_1+400_info.txt,ACQ_242_Aulnoye_Busigny_F_1+350_1+400.laz,ACQ_242_Aulnoye_Busigny_F_1+350_1+400_info.txt,12945749,2037885,1.2,3,1759020.051,9221452.381,136.643,1759163.369,9221586.684,190.270,48464.728030,48468.502621,"{""0"":{""count"":121055,""label"":""Unclassified""},""1"":{""count"":1010058,""label"":""Ground""},""2"":{""count"":796906,""label"":""Vegetation""},""4"":{""count"":11255,""label"":""Catenary pole""},""5"":{""count"":76552,""label"":""Rail""},""7"":{""count"":22059,""label"":""Catenary wire""}}"
28,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+400_1+450.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+400_1+450_info.txt,ACQ_242_Aulnoye_Busigny_F_1+400_1+450.laz,ACQ_242_Aulnoye_Busigny_F_1+400_1+450_info.txt,12940524,2002125,1.2,3,1758978.075,9221434.653,135.708,1759109.297,9221545.815,159.817,48468.502631,48472.205667,"{""0"":{""count"":126655,""label"":""Unclassified""},""1"":{""count"":1041672,""label"":""Ground""},""2"":{""count"":705667,""label"":""Vegetation""},""3"":{""count"":4547,""label"":""Building""},""4"":{""count"":10851,""label"":""Catenary pole""},""5"":{""count"":74583,""label"":""Rail""},""7"":{""count"":38150,""label"":""Catenary wire""}}"
29,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+450_1+500.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+450_1+500_info.txt,ACQ_242_Aulnoye_Busigny_F_1+450_1+500.laz,ACQ_242_Aulnoye_Busigny_F_1+450_1+500_info.txt,12072150,1845801,1.2,3,1758941.960,9221397.944,134.680,1759080.301,9221516.087,149.060,48472.205675,48475.840204,"{""0"":{""count"":102297,""label"":""Unclassified""},""1"":{""count"":1045564,""label"":""Ground""},""2"":{""count"":564919,""label"":""Vegetation""},""4"":{""count"":16284,""label"":""Catenary pole""},""5"":{""count"":75434,""label"":""Rail""},""7"":{""count"":41303,""label"":""Catenary wire""}}"
30,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+500_1+550.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+500_1+550_info.txt,ACQ_242_Aulnoye_Busigny_F_1+500_1+550.laz,ACQ_242_Aulnoye_Busigny_F_1+500_1+550_info.txt,11867969,1857761,1.2,3,1758917.537,9221343.459,134.380,1759028.141,9221511.957,149.864,48475.840214,48479.407738,"{""0"":{""count"":119758,""label"":""Unclassified""},""1"":{""count"":1045279,""label"":""Ground""},""2"":{""count"":543919,""label"":""Vegetation""},""4"":{""count"":20119,""label"":""Catenary pole""},""5"":{""count"":83776,""label"":""Rail""},""7"":{""count"":44910,""label"":""Catenary wire""}}"
31,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_1+550_1+600.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_1+550_1+600_info.txt,ACQ_242_Aulnoye_Busigny_F_1+550_1+600.laz,ACQ_242_Aulnoye_Busigny_F_1+550_1+600_info.txt,11988172,1900765,1.2,3,1758847.437,9221325.020,132.042,1758993.797,9221442.517,152.685,48479.407747,48482.879212,"{""0"":{""count"":119371,""label"":""Unclassified""},""1"":{""count"":1212657,""label"":""Ground""},""2"":{""count"":369407,""label"":""Vegetation""},""4"":{""count"":40605,""label"":""Catenary pole""},""5"":{""count"":103157,""label"":""Rail""},""7"":{""count"":55568,""label"":""Catenary wire""}}"
